"";"X.dep_18";"X.dep_22";"X.dep_36";"X.dep_48";"X.dep_75"
"pre";-2,3064;-15,5495;-9,0005;-6,4682;30,5339
"ver_sup";8,3967;0,9415;0,3065;2,3313;-6,1725
"adj_dem";-0,6699;0,6249;-0,9646;-0,3675;0,4926
"ono";1,9954;1,8615;5,4959;1,9969;-7,9259
"pro_per";16,8027;75,5404;30,6617;4,4343;-135,5642
"num";-1,1866;-0,3462;3,3508;-3,4948;0,499
"adv";-6,4857;-14,8605;-1,5963;-4,6372;26,5314
"ver";6,3357;-0,8968;0,985;0,7398;-2,3196
"adj_ind";2,246;2,0505;5,7665;0,841;-7,6874
"adj_pos";15,5935;30,775;15,4268;7,9442;-75,1302
"aux";0,5196;22,0792;18,5722;3,2842;-35,5004
"nr";-24,0306;-4,5447;-7,3621;-0,8229;28,4786
"pro_ind";41,5687;19,4624;48,1938;8,5751;-110,7428
"adj";-12,4246;-5,4181;-4,3087;-3,4742;22,8753
"pro_dem";1,5068;3,7924;6,2633;0,6654;-9,2114
"nom";-5,7059;-2,9479;-35,2943;-1,7918;26,3912
"art_ind";-2,0201;-5,4542;-6,1561;-1,7389;13,0294
"adj_int";-0,6864;1,6044;-1,7349;-0,3138;-0,3541
"pro_pos";2,2714;2,0008;1,4972;0,3315;-4,7328
"nom_sup";-0,3002;0,8267;6,2065;-0,6911;-2,3628
"adv_sup";7,0634;14,0909;23,9152;10,0522;-49,7924
"adj_sup";0,3947;-1,3019;1,4276;1,0557;-0,3118
"art_def";-3,9216;-8,2552;-5,0287;-0,8512;16,9951
"adj_num";-2,311;-2,3471;0,4406;-0,817;3,7284
"pro_rel";2,4947;9,3701;15,0063;1,8884;-24,0707
"con";2,608;-3,9076;0,7312;0,6131;0,6122
