"";"X.dep_18";"X.dep_22";"X.dep_36";"X.dep_48";"X.dep_75"
"ad_vitam_aeternam";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"cfe";-0,336;1,1444;-0,4855;-0,2823;-0,5107
"a_posteriori";-0,9816;-1,9082;-1,2628;-0,194;3,3857
"schizophrène";-0,206;-0,4485;0,6188;-0,0552;0,3713
"empeche";-0,3914;-0,8522;0,3902;-0,1049;0,9566
"déverser";1,5702;1,188;1,4028;-0,5082;-2,76
"appropriation";-1,2976;0,7918;-0,3124;-0,348;0,4303
"énergivore";0,3183;0,8817;2,931;0,2045;-2,314
"considérable";-1,478;-0,3405;-0,2894;-0,784;1,2017
"controversé";-0,2896;0,5911;-0,4183;2,0101;-0,7386
"chaussure";-0,3384;0,6082;0,3047;1,3741;-0,8499
"regulier";0,82;1,2808;0,4708;-0,0829;-1,9372
"audimat";-0,2472;0,4784;0,5509;-0,0663;-0,4142
"resserrement";0,391;-0,1516;-0,1315;-0,0608;0,1741
"émotion";0,4235;0,3137;-0,2377;-0,4805;0,2492
"recyclage";0,5882;-1,5749;0,4865;0,6969;0,5613
"déresponsabilisation";-0,6179;0,2402;-0,3585;-0,1657;0,7679
"juridiquement";-0,5027;-0,3221;-1,1951;-0,1944;1,0066
"ostensiblement";-0,2472;-0,1754;-0,1434;-0,0663;0,4918
"chine";-0,4925;-0,8186;1,8306;-1,2307;0,5375
"naturel";2,8071;0,5419;0,3553;2,5366;-2,9388
"faible";-0,5294;-2,2965;0,3002;-0,8008;2,3061
"protectionnistes";-0,2266;-0,1516;-0,1315;-0,0608;0,4306
"projection";-0,3384;-1,853;-0,2974;-0,3369;2,12
"pécheur";-0,206;0,5907;-0,1195;-0,0552;-0,2406
"compétitives";-0,2187;-0,661;-0,2486;-0,4916;0,8473
"sensibilisation";-1,9409;-2,1345;-5,2294;-2,4985;8,1623
"constitutif";0,4902;0,3467;-0,2988;-0,1381;-0,3016
"dns";-0,309;-0,6728;-0,1793;-0,0829;1,3264
"voyageur";-2,7639;-4,4934;-0,8521;-0,6499;8,0494
